X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxtpx_TrackPointExtension
113.7481067,-8.3487,"0","0","0",-5.93,2023/04/06 05:45:55+00,,,,,,,,,,,,,,,,,10,,,,,"			<gpxtpx:course>83.62</gpxtpx:course>		"
113.7481767,-8.348615,"0","0","1",-5.77,2023/04/06 05:46:04+00,,,,,,,,,,,,,,,,,8.2,,,,,"			<gpxtpx:course>83.62</gpxtpx:course>		"
113.74801,-8.3499367,"0","0","2",23.71,2023/04/06 05:47:43+00,,,,,,,,,,,,,,,,,14.3,,,,,"			<gpxtpx:course>0.0</gpxtpx:course>		"
113.7481417,-8.34988,"0","0","3",24.03,2023/04/06 05:47:54+00,,,,,,,,,,,,,,,,,8.2,,,,,"			<gpxtpx:course>0.0</gpxtpx:course>		"
113.74812,-8.350025,"0","0","4",23.81,2023/04/06 05:47:59+00,,,,,,,,,,,,,,,,,7.2,,,,,"			<gpxtpx:course>0.0</gpxtpx:course>		"
113.7481217,-8.3501267,"0","0","5",23.81,2023/04/06 05:48:05+00,,,,,,,,,,,,,,,,,6.5,,,,,"			<gpxtpx:course>0.0</gpxtpx:course>		"
113.7481533,-8.350215,"0","0","6",23.82,2023/04/06 05:48:10+00,,,,,,,,,,,,,,,,,5.8,,,,,"			<gpxtpx:course>0.0</gpxtpx:course>		"
113.7482467,-8.35024,"0","0","7",24.01,2023/04/06 05:48:17+00,,,,,,,,,,,,,,,,,5.9,,,,,"			<gpxtpx:course>111.54</gpxtpx:course>		"
113.7482933,-8.3501617,"0","0","8",24.39,2023/04/06 05:48:23+00,,,,,,,,,,,,,,,,,5.7,,,,,"			<gpxtpx:course>70.59</gpxtpx:course>		"
113.7483917,-8.3501917,"0","0","9",25.08,2023/04/06 05:48:32+00,,,,,,,,,,,,,,,,,5.7,,,,,"			<gpxtpx:course>86.18</gpxtpx:course>		"
113.7484867,-8.3502,"0","0","10",25.87,2023/04/06 05:48:39+00,,,,,,,,,,,,,,,,,6.1,,,,,"			<gpxtpx:course>71.98</gpxtpx:course>		"
113.7485883,-8.3501367,"0","0","11",30.55,2023/04/06 05:48:49+00,,,,,,,,,,,,,,,,,6.1,,,,,"			<gpxtpx:course>69.9</gpxtpx:course>		"
113.7487717,-8.350065,"0","0","12",32.68,2023/04/06 05:48:54+00,,,,,,,,,,,,,,,,,6.2,,,,,"			<gpxtpx:course>66.93</gpxtpx:course>		"
113.74886,-8.3500383,"0","0","13",36.88,2023/04/06 05:49:04+00,,,,,,,,,,,,,,,,,5.9,,,,,"			<gpxtpx:course>64.95</gpxtpx:course>		"
113.7489483,-8.34999,"0","0","14",47.24,2023/04/06 05:49:22+00,,,,,,,,,,,,,,,,,5,,,,,"			<gpxtpx:course>153.5</gpxtpx:course>		"
113.74922,-8.3499933,"0","0","15",47.61,2023/04/06 05:49:27+00,,,,,,,,,,,,,,,,,4.2,,,,,"			<gpxtpx:course>61.17</gpxtpx:course>		"
113.74937,-8.3499817,"0","0","16",46.97,2023/04/06 05:49:32+00,,,,,,,,,,,,,,,,,2.7,,,,,"			<gpxtpx:course>124.17</gpxtpx:course>		"
113.7494683,-8.3500567,"0","0","17",44.29,2023/04/06 05:49:42+00,,,,,,,,,,,,,,,,,3.7,,,,,"			<gpxtpx:course>126.15</gpxtpx:course>		"
113.7494,-8.3499933,"0","0","18",42.25,2023/04/06 05:49:54+00,,,,,,,,,,,,,,,,,3.7,,,,,"			<gpxtpx:course>126.15</gpxtpx:course>		"
113.7494483,-8.3499083,"0","0","19",41.99,2023/04/06 05:49:59+00,,,,,,,,,,,,,,,,,3.6,,,,,"			<gpxtpx:course>126.15</gpxtpx:course>		"
113.74954,-8.349875,"0","0","20",43.74,2023/04/06 05:50:07+00,,,,,,,,,,,,,,,,,3.3,,,,,"			<gpxtpx:course>126.15</gpxtpx:course>		"
113.749665,-8.349795,"0","0","21",45.63,2023/04/06 05:50:12+00,,,,,,,,,,,,,,,,,3.7,,,,,"			<gpxtpx:course>56.32</gpxtpx:course>		"
113.7497567,-8.3497933,"0","0","22",45.89,2023/04/06 05:50:25+00,,,,,,,,,,,,,,,,,3.8,,,,,"			<gpxtpx:course>94.49</gpxtpx:course>		"
113.749895,-8.349795,"0","0","23",45.98,2023/04/06 05:50:30+00,,,,,,,,,,,,,,,,,4.5,,,,,"			<gpxtpx:course>99.97</gpxtpx:course>		"
113.750015,-8.34996,"0","0","24",46.47,2023/04/06 05:50:35+00,,,,,,,,,,,,,,,,,3.8,,,,,"			<gpxtpx:course>108.17</gpxtpx:course>		"
113.7501183,-8.349965,"0","0","25",49,2023/04/06 05:50:51+00,,,,,,,,,,,,,,,,,4.3,,,,,"			<gpxtpx:course>102.11</gpxtpx:course>		"
113.75033,-8.3499567,"0","0","26",49.48,2023/04/06 05:50:56+00,,,,,,,,,,,,,,,,,4.7,,,,,"			<gpxtpx:course>91.59</gpxtpx:course>		"
113.7504433,-8.3499367,"0","0","27",50.52,2023/04/06 05:51:01+00,,,,,,,,,,,,,,,,,4.4,,,,,"			<gpxtpx:course>44.41</gpxtpx:course>		"
113.7505633,-8.34998,"0","0","28",51.84,2023/04/06 05:51:06+00,,,,,,,,,,,,,,,,,4.3,,,,,"			<gpxtpx:course>33.97</gpxtpx:course>		"
113.7506817,-8.3499683,"0","0","29",53.67,2023/04/06 05:51:13+00,,,,,,,,,,,,,,,,,4.7,,,,,"			<gpxtpx:course>94.92</gpxtpx:course>		"
113.75093,-8.3498817,"0","0","30",54.55,2023/04/06 05:51:18+00,,,,,,,,,,,,,,,,,4.6,,,,,"			<gpxtpx:course>95.44</gpxtpx:course>		"
113.751035,-8.3498367,"0","0","31",55.56,2023/04/06 05:51:23+00,,,,,,,,,,,,,,,,,4.8,,,,,"			<gpxtpx:course>79.75</gpxtpx:course>		"
113.7510567,-8.3499917,"0","0","32",54.1,2023/04/06 05:51:30+00,,,,,,,,,,,,,,,,,4.6,,,,,"			<gpxtpx:course>216.64</gpxtpx:course>		"
113.7510983,-8.350075,"0","0","33",51.54,2023/04/06 05:51:36+00,,,,,,,,,,,,,,,,,4.2,,,,,"			<gpxtpx:course>174.41</gpxtpx:course>		"
113.7512183,-8.350055,"0","0","34",52.16,2023/04/06 05:51:42+00,,,,,,,,,,,,,,,,,4.6,,,,,"			<gpxtpx:course>174.41</gpxtpx:course>		"
113.751325,-8.3501017,"0","0","35",53.83,2023/04/06 05:51:47+00,,,,,,,,,,,,,,,,,4.7,,,,,"			<gpxtpx:course>174.41</gpxtpx:course>		"
113.7513367,-8.3501917,"0","0","36",57.46,2023/04/06 05:51:54+00,,,,,,,,,,,,,,,,,4.9,,,,,"			<gpxtpx:course>97.22</gpxtpx:course>		"
